Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
01-12-2020,Nagaland,13,Wokha,250,537.36,0,527.37,0
01-12-2019,Uttarakhand,5,Dehradun,49,6538.04,4007.17,3572,1831.22
01-07-2020,Odisha,21,Nuapada,368,3122.22,179.71,3096.75,177.28
01-08-2020,Telangana,36,Nagarkurnool,694,2610.94,0,2396.58,0
01-01-2020,Uttar Pradesh,9,Mainpuri,166,2566.83,3735.51,2430.78,3535.6
01-02-2019,Telangana,36,Warangal_Urban,686,2927.17,0,2637.66,0
01-02-2020,Madhya Pradesh,23,Sidhi,433,2287.22,3867.67,1944.48,3190.28
01-12-2018,Maharashtra,27,Jalgaon,478,12603.38,17563.7,5773.21,8003.78
01-04-2018,Jharkhand,20,Godda,330,5253.77,638.96,4585.33,574.61
01-06-2020,Delhi,7,North East,81,1220.43,4744.04,1215.38,4729.6
01-10-2019,Chhattisgarh,22,Balrampur,649,3627.71,0,3532.18,0
01-04-2019,Jammu And Kashmir,1,Kargil,6,346.29,271.4,223.2,2.03
01-08-2020,Rajasthan,8,Dholpur,98,0,4682.66,0,4608.62
01-05-2020,Maharashtra,27,Gondia,476,3974.97,2128.49,3897.53,2082.73
01-08-2017,Gujarat,24,Panch Mahals,454,2.03,4.79,1.69,3.98
01-01-2018,Uttar Pradesh,9,Chandauli,135,3193.35,4658.78,3013.89,4389.68
01-09-2020,Bihar,10,Aurangabad,189,6034.7,4023.13,5511.5,3674.29
01-05-2020,Karnataka,29,Uttara Kannada,550,5524.39,0,0,0
01-09-2020,Haryana,6,Fatehabad,61,0,2426.52,0,2312.92
01-09-2020,Uttar Pradesh,9,Ambedkar Nagar,121,4154.41,6066.69,4068.81,5940.44
01-07-2019,Assam,18,Bongaigaon,281,3156.15,185,3156.15,185
01-08-2018,Haryana,6,Faridabad,60,0,2345.97,0,2656.16
01-10-2020,Madhya Pradesh,23,Damoh,400,1102.32,4711.73,1073.51,4589.28
01-06-2018,Odisha,21,Rayagada,370,4986.81,7.89,4748.81,7.61
01-08-2018,Chhattisgarh,22,Jashpur,380,4189.16,0,4076.52,0
01-08-2018,Bihar,10,Muzaffarpur,208,12614.43,8409.62,12554.54,8369.69
01-02-2020,Odisha,21,Baleshwar,346,8730.64,1961.74,17267.73,3869.99
01-09-2021,Punjab,3,Bathinda,28,0,24076.17,0,2217.02
01-03-2019,Rajasthan,8,Bikaner,93,0,6567.11,0,5794.45
01-02-2020,Odisha,21,Boudh,349,2031.35,138.84,4026.09,275.19
01-06-2019,Bihar,10,Buxar,194,3016.43,2010.95,2903.6,1935.73
01-08-2020,Tripura,16,North Tripura,270,1546.21,0,1510.84,0
01-06-2019,Karnataka,29,Hassan,539,17613.72,0,6786.67,0
01-11-2020,Uttar Pradesh,9,Bhadohi,179,2746.42,4023.96,2559.11,3747.68
01-02-2019,Punjab,3,Rupnagar,42,0,10109.72,0,8727.95
01-06-2020,Delhi,7,South,83,897.28,3519.33,885.84,3473.42
01-08-2018,Uttar Pradesh,9,Shahjahanpur,180,4669.81,6910.11,4580.81,6784.61
01-08-2019,Delhi,7,West,85,799.15,3063.89,792.35,3037.13
01-03-2019,Manipur,14,Bishnupur,252,1136.42,0,1136.42,0
01-08-2020,Uttar Pradesh,9,Etah,138,2787.16,4112.82,2643.19,3899.46
01-11-2020,Uttar Pradesh,9,Fatehpur,142,4257.97,6294.97,4060.24,6000.07
01-10-2019,Madhya Pradesh,23,Rewa,424,2343.75,8324.18,1877.73,6680.34
01-02-2020,Maharashtra,27,Nashik,487,7271.79,13079.2,6505.29,11755.5
01-11-2019,Odisha,21,Rayagada,370,4765.64,6.72,3985.63,6.68
01-11-2018,Madhya Pradesh,23,Ashoknagar,391,976.42,3386.35,615.76,1679.52
01-07-2018,Punjab,3,Amritsar,27,0,36801.3,0,174.18
01-10-2018,Himachal Pradesh,2,Una,26,531,755,487.42,718.92
01-12-2018,Gujarat,24,Amreli,439,1471.85,3476.67,1312.85,3100.86
01-08-2020,Meghalaya,17,South Garo Hills,277,557.47,0,557.47,0
01-07-2019,Odisha,21,Kandhamal,359,3600.86,90.46,3495.74,86.58
01-12-2019,Bihar,10,Madhepura,205,11101.82,7401.24,5557.94,3705.32
01-12-2019,Jammu And Kashmir,1,Badgam,2,2411.05,0,2411.05,0
01-10-2017,Tamil Nadu,33,Dharmapuri,571,17131.61,642.5,5108.08,169.24
01-06-2019,Uttar Pradesh,9,Lucknow,162,5960.48,8815.45,5236.67,7734.59
01-02-2018,Karnataka,29,Chitradurga,533,9385.12,0,8919.72,0
01-08-2020,Jammu And Kashmir,1,Baramula,3,6167.99,0,2816.67,0
01-10-2017,Chhattisgarh,22,Balod Bazar,644,6854.26,0,6567.71,0
01-03-2018,Mizoram,15,Lawngtlai,264,412.28,0,412.28,0
01-09-2019,Karnataka,29,Mysuru,545,9036.73,0,0,0
01-09-2019,Odisha,21,Anugul,344,4342.33,907.13,4207.06,876.64
01-10-2018,Telangana,36,Warangal_Rural,522,2680.88,0,2187.49,0
01-09-2021,Tamil Nadu,33,Theni,588,3805,452,3014.85,312.27
01-10-2019,Karnataka,29,Raichur,546,16210.42,0,6918.47,0
01-03-2018,Madhya Pradesh,23,Chhatarpur,398,1283.06,5422.29,831.45,3521.73
01-05-2020,Tamil Nadu,33,Thiruvallur,589,5984.02,89.23,5759.54,86.93
01-12-2019,Uttar Pradesh,9,Shahjahanpur,180,4687.64,6936.86,4229.06,6255.1
01-09-2018,Maharashtra,27,Palghar,665,11115.77,6295.63,6693.87,3772.03
01-08-2018,Punjab,3,Amritsar,27,0,36801.3,0,15609.54
01-06-2019,Kerala,32,Alappuzha,554,5811.2,1133.35,4642.9,1057.45
01-09-2021,Tamil Nadu,33,Tirunelveli,592,4235,481,3480.86,320.64
01-09-2019,Bihar,10,Rohtas,215,5983.03,3988.69,5838.64,3892.43
01-03-2020,Tripura,16,Dhalai,269,1643.41,0,1445.27,0
01-10-2021,Odisha,21,Mayurbhanj,365,11699.06,876.67,10428.47,790.22
01-03-2020,Jammu And Kashmir,1,Badgam,2,3993.86,0,1935.22,0
01-07-2019,Assam,18,Dhemaji,284,3088.67,0,3088.67,0
01-07-2018,Arunachal Pradesh,12,Lower Dibang Valley,235,135.12,0,135.12,0
01-08-2019,Himachal Pradesh,2,Una,26,546,783,112.48,167.26
01-12-2019,West Bengal,19,Jalpaiguri,314,4406.45,6297.65,4301.14,6297.64
01-08-2020,Bihar,10,Kishanganj,203,4718.78,3145.77,4990.8,3327.44
01-02-2020,Uttar Pradesh,9,Kaushambi,158,2876.51,4219.36,2687.9,3939.65
01-06-2019,Jharkhand,20,Latehar,335,3070.49,340.19,3073.71,349.33
01-12-2018,Rajasthan,8,Dungarpur,99,0,6854.58,0,6001
01-01-2020,Tamil Nadu,33,Erode,573,5967.1,255.42,4908.3,225.93
01-09-2020,Haryana,6,Panchkula,70,0,1139.12,0,1082.41
01-09-2020,Karnataka,29,Haveri,540,7342.62,685.57,7887.07,626.88
01-08-2019,Jammu And Kashmir,1,Pulwama,11,3813.37,0,1906.46,0
01-07-2020,Jharkhand,20,Palamu,338,8743.15,1074.67,8576.1,1055.2
01-08-2020,Gujarat,24,Arvalli,672,1177.49,2781.1,1146.93,2707.35
01-07-2020,West Bengal,19,Hooghly,312,6862.94,10114.33,6758.17,9955.87
01-11-2017,Maharashtra,27,Pune,490,8742.01,13113.01,69.43,104.21
01-08-2019,Andaman & Nicobar Islands,35,Nicobars,603,129.38,0,122.41,0
01-02-2019,Andhra Pradesh,28,Srikakulam,519,8889.63,0,8499.36,0
01-11-2018,Arunachal Pradesh,12,Kurung Kumey,233,158.09,0,158.09,0
01-12-2017,Maharashtra,27,Akola,467,2350.19,3525.29,19.16,17.61
01-11-2018,Odisha,21,Jajapur,356,6420.61,1553.7,6421.72,1568.52
01-03-2018,Madhya Pradesh,23,Khargone,414,1710.93,7178.95,1425.89,5961.07
01-07-2018,Telangana,36,Kamareddy,685,3140.11,0,2939.53,0
01-10-2021,Jharkhand,20,Gumla,331,2515.66,1682.42,2548.24,1654.63
01-12-2018,Nagaland,13,Zunheboto,251,588.23,0,588.23,0
01-06-2018,Meghalaya,17,East Garo Hills,273,548.31,0,548.31,0
01-10-2018,Gujarat,24,Amreli,439,1630.08,3847.74,1265.72,2992.37
01-09-2017,Jammu And Kashmir,1,Rajauri,12,1338.69,915.2,253.74,179.16
01-11-2019,Jammu And Kashmir,1,Rajauri,12,1332.53,911.11,1332.53,911.11
01-12-2017,Tamil Nadu,33,Madurai,578,27635.74,1006.37,7298.86,220.43
01-07-2019,Jammu And Kashmir,1,Doda,4,868.69,594.96,815.27,559.12
01-07-2020,Uttar Pradesh,9,Ambedkar Nagar,121,4154.41,6066.69,4060.59,5927.94
01-09-2021,Mizoram,15,Mamit,266,285.23,0,280.04,0
01-01-2019,Haryana,6,Jhajjar,64,0,668.13,0,688.98
01-06-2018,Telangana,36,Medak,513,2647.07,0,2399.46,0
01-02-2019,Madhya Pradesh,23,Mandla,415,4607.24,3341.85,3502.2,2538.68
01-09-2021,Meghalaya,17,South West Khasi Hills,658,411.29,0,54.59,0
01-10-2021,Assam,18,Karbi Anglong,292,3753.61,0,3753.61,0
01-01-2018,Jharkhand,20,Dhanbad,325,8346.36,1559.72,7393.94,1167.12
01-02-2018,Odisha,21,Puri,369,5287.1,1367.43,5186.53,1337.02
01-02-2019,Gujarat,24,Porbandar,456,493.07,1165.06,471.57,1115.23
01-03-2019,Maharashtra,27,Nanded,485,9509.55,12901.58,4277.24,5755.92
01-09-2019,West Bengal,19,Jhargram,703,1982.08,2891.7,1969.1,2747.11
01-07-2019,Maharashtra,27,Wardha,498,4672.74,5732.54,2274.23,2790.22
01-06-2018,Delhi,7,South West,84,823.39,3216.49,0,0
01-11-2021,Himachal Pradesh,2,Chamba,16,877,1254.74,666.72,891.06
01-10-2019,Uttar Pradesh,9,Meerut,169,4054.39,6058.51,7488.29,11189.03
01-11-2019,Maharashtra,27,Hingoli,477,3304.41,5248.57,1520.25,2413.14
01-07-2019,Maharashtra,27,Hingoli,477,2508.04,4834.97,1015.19,2655.8
01-07-2019,Mizoram,15,Saiha,267,251.62,0,251.62,0
01-02-2019,Maharashtra,27,Thane,497,13745.89,17643.31,7029.95,8172.24
01-11-2018,Gujarat,24,Narmada,452,764.77,1827.9,738.03,1763.85
01-11-2020,Odisha,21,Kalahandi,358,7395.15,317.53,7198.64,304.1
01-12-2017,Odisha,21,Puri,369,5211.56,1356.84,5202.57,1348.88
01-07-2020,Andhra Pradesh,28,Prakasam,517,10601.88,0,9946.87,0
01-09-2019,Gujarat,24,Surendranagar,460,1528.04,3596.4,1294.31,3046.03
01-07-2018,Gujarat,24,Arvalli,672,1247.69,2942.61,1140.72,2688.87
01-06-2019,Manipur,14,Jiribum,713,217.06,0,217.06,0
01-12-2020,Uttar Pradesh,9,Chitrakoot,136,1894.18,2783.63,1779.03,2613.11
01-02-2018,Uttar Pradesh,9,Kheri,159,7349.72,10749.86,6745.09,9843.45
